Material name,Number,Total Price for parts(USD),Link
MG90s 180 degree Motor ,18,24.66,https://www.coupang.com/vp/products/8331026680?itemId=24052890806&vendorItemId=91655182069&q=MG90S&searchId=9b3475b025510472&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mqhgcm8r
PCA9685,2,6.44,https://www.coupang.com/vp/products/1137724853?vendorItemId=70106820545&sourceType=MyCoupang_my_orders_list_product_title
ESP32 DevkitC V4,1,10.24,https://www.coupang.com/vp/products/8757170787?vendorItemId=92529413015&sourceType=MyCoupang_my_orders_list_product_title
"18650 Battery (3000mAh, 3.7V)",4,8.44,https://www.coupang.com/vp/products/5032842187?itemId=25081547722&vendorItemId=94210383111&q=18650+%EB%B0%B0%ED%84%B0%EB%A6%AC&searchId=bc2d70a44007556&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mqhg8y73
18650 Battery Holder (4p),1,0.56,https://www.coupang.com/vp/products/7397864403?vendorItemId=81976143735&sourceType=MyCoupang_my_orders_list_product_title
DT-830LN Multimeter,1,5.15,https://www.coupang.com/vp/products/8176825077?vendorItemId=3008369061&sourceType=MyCoupang_my_orders_list_product_title
"Bulk Capacitor (4700uF, 50V)",1,1.06,https://www.coupang.com/vp/products/1065561592?vendorItemId=70011877152&sourceType=MyCoupang_my_orders_list_product_title
"Ceramic Capacitor (0.01uF,50V)",4,0.16,https://www.coupang.com/vp/products/8540238444?vendorItemId=81879099650&sourceType=MyCoupang_my_orders_list_product_title
Fuse for vehicles (3A),10,1.45,https://www.coupang.com/vp/products/9497182652?vendorItemId=95243510449&sourceType=MyCoupang_my_orders_list_product_title
Fuse for vehicles (15A),2,0.05,https://www.coupang.com/vp/products/9195985582?vendorItemId=94112018190&sourceType=MyCoupang_my_orders_list_product_title
Fuse holder (5A),10,7.81,https://www.coupang.com/vp/products/8511316183?itemId=24637065051&vendorItemId=91647984528&sourceType=srp_product_ads&clickEventId=710bd650-6b21-11f1-a031-d122952efb1f&korePlacement=15&koreSubPlacement=1&clickEventId=710bd650-6b21-11f1-a031-d122952efb1f&korePlacement=15&koreSubPlacement=1&traceId=mqjlcvoi
Fuse holder (20A),10,9.7,https://www.coupang.com/vp/products/8511316183?itemId=24637065051&vendorItemId=91647984528&sourceType=srp_product_ads&clickEventId=710bd650-6b21-11f1-a031-d122952efb1f&korePlacement=15&koreSubPlacement=1&clickEventId=710bd650-6b21-11f1-a031-d122952efb1f&korePlacement=15&koreSubPlacement=1&traceId=mqjlcvoi
"Flat head screw (M2,10mm)",36,0.95,https://www.coupang.com/vp/products/6168689383?vendorItemId=79298318662&sourceType=MyCoupang_my_orders_list_product_title
"Flat head screw (M3,10mm)",32,0.85,https://www.coupang.com/vp/products/9081428280?vendorItemId=75625000037&sourceType=MyCoupang_my_orders_list_product_title
"Flat head screw (M3,20mm)",40,1.59,https://www.coupang.com/vp/products/9081428280?vendorItemId=75625000037&sourceType=MyCoupang_my_orders_list_product_title
"Hex Nut (M2, 1.5mm)",36,1.19,https://www.coupang.com/vp/products/8732352217?vendorItemId=81282770681&sourceType=MyCoupang_my_orders_list_product_title
"Hex Nut (M3, 2.5mm)",82,2.38,https://www.coupang.com/vp/products/8732352217?vendorItemId=81282770681&sourceType=MyCoupang_my_orders_list_product_title
MR84ZZ Bearing,18,3.09,https://www.coupang.com/vp/products/5448395078?vendorItemId=75595421996&sourceType=MyCoupang_my_orders_list_product_title
"Standoff (M3,25mm)",20,4.62,https://www.coupang.com/vp/products/8695499113?vendorItemId=92243586435&sourceType=MyCoupang_my_orders_list_product_title
XL4015 DC-DC Stepdown Converter (2A),1,2.67,https://www.coupang.com/vp/products/5354288472?vendorItemId=91007331720&sourceType=MyCoupang_my_orders_list_product_title
"DC-DC Stepdown Converter (300W, 20A)",1,4.62,https://www.coupang.com/vp/products/9127141798?itemId=26852534394&vendorItemId=93820401928&q=20A+%EA%B0%95%EC%95%95%EA%B8%B0&searchId=7532b52b5127673&sourceType=search&itemsCount=35&searchRank=1&rank=1&traceId=mqhh3z3l
221-413 Wago Connector 3p ,50,13.87,https://www.coupang.com/vp/products/7599905141?itemId=7995179122&vendorItemId=91420903152&q=%EC%99%80%EA%B3%A0+221-413&searchId=c5d42cf47208102&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mqhh8gfc
221-415 Wago Connector 5p ,5,2.28,https://www.coupang.com/vp/products/8844622739?vendorItemId=92767949347&sourceType=MyCoupang_my_orders_list_product_title
Silicon Cable Red & Black 1M (16AWG),1,0.87,https://www.coupang.com/vp/products/7225302003?vendorItemId=85464951977&sourceType=MyCoupang_my_orders_list_product_title
Silicon Cable Red & Black 1M (22AWG),1,0.39,https://www.coupang.com/vp/products/8230958366?itemId=23689081947&vendorItemId=90714232837&q=22AWG&searchId=8dd615b25622092&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mqhhdd6t
15SQ045 Schottky diode (15A),1,0.3,https://www.coupang.com/vp/products/208012195?vendorItemId=4617681987&sourceType=MyCoupang_my_orders_list_product_title
F-F Jumper Cable (20cm),40,0.99,https://www.coupang.com/vp/products/9066477738?itemId=26624930723&vendorItemId=93597823606&sourceType=srp_product_ads&clickEventId=84ca2710-69f9-11f1-a8b7-107da2e52f6a&korePlacement=15&koreSubPlacement=1&clickEventId=84ca2710-69f9-11f1-a8b7-107da2e52f6a&korePlacement=15&koreSubPlacement=1&traceId=mqhhp6kz
Total,,115.19,
